time,orderId,event,publishTimeTaken,relayDelay
1570624383894,LTFGQMU81U9U,CREATE,1123,90360
1570624383892,LTFGQMM2KYOG,PATCH,1418,97985
1570624383977,LTFGQMDAIHIV,PATCH,1193,89940
1570624384077,LTFGQMU9013E,CREATE,1234,88946
1570624384078,LT4ANE9326E9Q,PATCH,1547,94978
1570624384194,LT4ANEBISNEO6,PATCH,1699,96712
1570624384269,LT16YHZAJEXYKG,PATCH,1404,88409
1570624387046,LTFGQK272Y0L,PATCH,659,81753
1570624387453,LTFGQMS8B8FU,PATCH,1051,79702
1570624383833,LTFGQMSW718C,PATCH,1440,102832
1570624384358,LTFGQMOC7U9B,PATCH,1507,89048
1570624384411,LTFGQM2NFPGF,UPDATE,1796,94932
1570624384551,LT4ANDYO9CCHK,PATCH,1862,93645
1570624384626,LTFGQMQ146G0,PATCH,1868,91194
1570624384613,LTFGQMEL1APP,PATCH,767,89332
1570624384641,LTFGQLGIPI0H,UPDATE,663,89607
1570624388218,LTFGQMJY7VHZ,PATCH,1337,82045
1570624388582,LTFGQMPGX31P,PATCH,2161,79306
1570624388643,LTFGQMOJKHHG,PATCH,2225,79522
1570624388769,LTFGQLMYIPYU,UPDATE,2339,77734
1570624383892,LTFGQLXFF13E,PATCH,1423,99203
1570624383892,LTFGQMR5GXUV,PATCH,1419,98322
1570624384077,LTFGQMKHWUJF,PATCH,1213,88514
1570624380962,LTFGQMBD5F9T,PATCH,26313,122971
1570624385784,LTFGQMLDUFUU,PATCH,1044,88438
1570624385876,LTFGQMGUS3JV,PATCH,1108,87784
1570624385915,LT16YHYSH93ZJ4,PATCH,907,82776
1570624385915,LTFGQMQNWRJD,PATCH,904,82558
1570624386012,LTFGQMIUJT6F,PATCH,1162,87520
1570624386026,LT4ANEB8VX4WK,PATCH,1153,87324
1570624389272,LTFGQKKJL23T,PATCH,79,78277
1570624384653,LTFGQMM2KYOG,PATCH,761,93251
1570624383892,LTFGQMS92ZS3,PATCH,1449,99465
1570624384196,LTFGQMLNXODN,PATCH,1691,96662
1570624384266,LT16YHUUAO5ADC,UPDATE,1752,96345
1570624386026,LT4ANE7N04ABY,PATCH,1118,85750
1570624386103,LTFGQMJXZIBI,PATCH,1142,84853
1570624386103,LTFGQM3LIWTF,UPDATE,1155,85482
1570624386102,LTFGQMHSPQLF,PATCH,1166,85694
1570624386146,LTFGQM8KLD1F,PATCH,1179,84812
1570624385875,LTFGQLI7YX39,UPDATE,1114,87837
1570624385875,LTFGQMIWA5E8,UPDATE,1110,87836
1570624385876,LTFGQMUASDX8,CREATE,1072,87743
